PMDN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(17-2015) Industri kertas dan barang dari kertas,"300,859.5","7,962.0",,"92,492.1","501,600.0","1,782,013.9","1,537,728.6","3,904,384.5","771,162.1","98,783.4","3,717,037.8","234,720.5","21,566.8","91,896.0","109,456.1","156,285.3","1,000.0","14,503,431.2","331,651.0","201,331.0","336,500.6","3,581,086.7","3,089,988.2","4,461,660.6","3,611,469.4","3,496,223.7","2,396,395.4","6,824,376.9","880,470.7","1,883,574.9","2,500,956.0"
(18-2015) Industri pencetakan dan reproduksi media rekaman,,,,"5,852.8","31,425.6","19,407.3","8,833.5","12,523.8","24,041.3","4,584.0","40,771.0",,"198,138.7",,0.0,,"25,000.0",,"22,560.0","657,531.5","2,892.3","53,911.7","280,210.4","151,870.2","77,960.8","79,479.6","112,798.2","448,794.1","293,956.0","230,056.6","318,653.2"
(19-2015) Industri produk dari batu bara dan pengilangan minyak bumi,,,,"1,392.0",,,,,,"79,160.0",,,"78,258.5","202,185.1","1,500.0","33,800.0",,"10,000.0","94,781.5","32,821.4","690,601.3","330,016.8","1,054,718.6","1,493,695.4","2,480,059.8","830,373.3","1,822,917.2","929,620.1","507,417.4","116,688.7","3,167,524.2"
(20-2015) Industri bahan kimia dan barang dari bahan kimia,"62,448.3","194,270.4","534,317.8","985,967.5","1,210,470.0","1,422,182.7","559,883.3","539,520.6","395,292.4","2,060,543.5","1,165,386.0","300,106.4","450,351.2","1,128,580.8","3,931,150.8","1,172,360.4","227,261.6","1,011,816.9","206,807.3","5,224,113.1","1,287,050.2","1,499,632.2","2,799,331.8","3,211,178.6","6,448,829.5","14,792,504.2","13,433,842.6","7,134,254.8","4,341,505.7","3,749,666.7","7,895,473.1"
"(21-2015) Industri farmasi, produk obat kimia dan obat tradisional","4,504.2",,"1,792.5","7,428.0","37,831.8","125,932.3","3,021.2",,"56,830.8","2,548.0","54,994.2","13,703.4",,250.0,"222,101.8","91,663.0","174,917.7","105,480.0","134,355.1","93,225.0",,"202,125.3","156,620.5","508,588.0","22,533.5","435,450.3","1,907,964.0","1,682,784.2","2,309,702.3","2,927,983.6","2,770,227.9"
"(22-2015) Industri karet, barang dari karet dan plastik","21,400.3","65,978.7","142,002.2","276,752.2","364,643.1","432,483.6","749,491.8","1,146,960.2","584,554.3","258,032.1","1,089,293.0","278,157.4","388,585.6","68,051.3","39,111.9","495,064.0","179,716.6","219,707.4","316,448.0","1,233,826.3","467,264.9","1,823,088.0","2,292,841.2","1,063,582.0","1,846,973.1","1,924,706.7","2,820,028.5","2,608,805.5","1,975,780.4","2,389,930.5","3,665,120.4"
(23-2015) Industri barang galian bukan logam,"54,934.6","28,823.1","27,174.6","578,408.1","402,383.1","1,064,672.5","706,760.0","1,239,421.5","174,287.3","8,908.5","3,265,231.6","1,272,601.2","11,448,488.8",,"355,267.1","732,984.8","121,196.6","204,373.5","801,694.5","92,530.0","1,684,955.1","5,236,740.8","8,591,579.7","4,030,279.6","8,006,750.9","11,405,835.7","7,967,006.5","3,462,067.6","2,991,223.8","2,760,602.1","5,276,100.5"
(24-2015) Industri logam dasar,"22,246.7","33,199.4","373,562.3","165,897.9","169,002.8","142,566.5","4,938,263.4","301,357.2","214,867.1","308,501.1","194,041.0","37,975.3","136,558.5","209,308.6","169,940.7","461,855.6","3,136,931.4","3,398,416.8","1,617,664.8","759,620.9","463,909.5","961,408.7","4,328,977.8","3,371,667.0","2,819,477.8","4,966,848.9","3,978,525.5","6,611,035.6","5,606,978.8","4,814,498.9","4,176,051.9"
"(25-2015) Industri barang logam, bukan mesin dan peralatannya","7,646.0","2,888.2","7,842.0","15,773.5","207,245.9","192,624.1","94,408.9","125,560.6","38,905.1","75,309.5","76,315.5","49,011.6","33,025.0","192,387.3","129,162.3","197,123.5","129,979.1","89,767.5","151,563.0","438,423.9","108,609.4","949,254.4","937,803.9","481,844.7","334,837.9","523,183.1","650,351.1","899,312.2","1,531,118.4","1,942,969.7","1,056,638.8"
"(26-2015) Industri komputer, barang elektronik dan optik","4,336.0",448.2,,"84,546.3","46,328.3","28,701.2","14,933.5","32,861.6","32,757.0",,,"150,176.2",,,"76,600.0",,"5,839.3",0.0,,"218,496.6",,0.0,"2,500.0","135,956.0",540.8,"127,990.7","59,843.4","135,927.8","186,521.6","217,449.1","109,112.8"
