PMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(17-2015) Industri kertas dan barang dari kertas,52677.90,,,1919.80,305662.90,53191.30,21566.00,2265.00,13794.10,58867.40,399973.60,26724.10,,10128.30,404010.70,7102.80,382873.90,426423.40,240271.30,61427.80,7757.40,190461.40,823029.40,1086934.80,647203.40,417181.90,2347048.20,236340.70,449322.50,383445.10,340013.10
(18-2015) Industri pencetakan dan reproduksi media rekaman,,,,,,822.90,33940.90,,,8198.90,60.50,26688.90,2461.70,0.00,4800.00,1638.20,56592.00,1398.30,54195.00,5859.00,3476.20,1486.30,5709.70,4823.70,14594.50,7499.40,14678.70,8915.40,18931.90,15288.60,2299.30
(19-2015) Industri produk dari batu bara dan pengilangan minyak bumi,,,940.00,,,,,,,261239.30,37741.00,,,3719.40,3111.10,3000.00,,9830.50,249194.70,,164231.90,430912.90,982147.00,1019430.20,839644.70,231768.90,35045.40,159016.80,97498.20,134571.70,267301.40
"(22-2015) Industri karet, barang dari karet dan plastik",13828.30,1950.00,16502.80,13433.00,57490.00,73346.00,68961.20,172642.10,174370.60,26113910.60,333882.30,69096.40,47309.50,62760.80,69031.00,385190.20,103412.80,116677.80,210515.70,142401.00,58753.80,348535.40,574593.90,331961.10,357189.90,556586.20,458497.30,483488.10,281324.50,248555.20,257276.60
"(21-2015) Industri farmasi, produk obat kimia dan obat tradisional",27178.80,37274.40,11717.10,20253.00,,,14588.60,,15418.70,15756.80,10045.00,7746.90,39603.40,2165.00,13164.10,,5843.80,29491.00,58952.20,18290.90,3514.50,41973.40,47187.90,44273.40,99613.20,14826.70,97443.90,196491.80,121043.20,111704.30,29123.00
(23-2015) Industri barang galian bukan logam,10195.00,13959.30,11501.10,1143.50,41227.00,36118.20,11567.30,23010.90,45830.30,79726.50,69668.30,13164.50,40008.00,25574.80,41203.80,31451.50,92568.30,26782.90,206921.10,15484.70,27670.60,61954.30,114822.50,699714.20,763080.40,842132.60,858250.10,496541.80,259808.10,274505.30,232184.00
(24-2015) Industri logam dasar,3364.60,,47679.30,5553.30,21092.20,146002.60,300491.50,53373.90,156399.00,2085257.80,102629.70,3333.10,16647.60,51482.10,33159.00,79177.20,19410.80,39955.00,317652.30,100502.20,66813.70,569603.80,592412.40,1474584.50,634314.50,1332939.40,1917083.70,2120913.70,1349547.70,2001529.40,4438841.30
"(25-2015) Industri barang logam, bukan mesin dan peralatannya",17542.60,8130.50,760836.70,65722.50,120726.10,1641954.60,36211.80,38820.90,56273.80,90835.40,852825.10,92157.50,22349.40,55728.90,45577.60,18682.60,141477.10,75693.20,176784.70,73118.20,47686.70,69534.50,85613.20,234782.20,109616.90,227472.90,178281.90,293120.20,88882.50,55256.80,43241.10
"(26-2015) Industri komputer, barang elektronik dan optik",29959.90,38873.60,43661.90,4877.20,20125.30,36106.80,319390.20,177099.00,122215.70,656799.20,35391.60,89568.70,82162.10,56896.00,61509.00,264573.90,308354.50,68911.50,280576.50,205411.10,64885.60,159693.20,276197.00,299354.80,237649.80,24770.10,33731.90,281855.60,677547.70,195160.30,146397.00
(27-2015) Industri peralatan listrik,15229.40,9742.50,2895.00,23578.30,76541.20,66267.80,196579.90,106950.60,137529.70,63241.40,29596.00,58852.10,107894.00,64586.60,18034.50,20970.00,274116.50,6192.30,38335.40,44485.40,111471.30,108543.00,192418.00,385146.90,164237.60,115228.00,200320.10,130313.80,175659.90,14396.10,72372.10
(28-2015) Industri mesin dan perlengkapan ytdl,2600.00,20471.40,4332.10,14409.00,58700.10,99913.80,121686.20,37226.60,43635.30,67804.30,30214.10,88539.30,32926.80,110215.90,14594.70,52250.50,126430.40,73635.80,164945.10,23370.90,61259.60,480556.80,111731.80,186888.50,267184.40,336280.40,225482.70,119465.40,195545.80,72449.70,284997.00
"(29-2015) Industri kendaraan bermotor, trailer dan semi trailer",21201.50,11398.30,66473.60,74748.60,115203.00,27170.20,425590.90,226827.00,149390.40,44300.20,316838.20,83339.10,70244.70,206032.50,249673.00,272102.10,199271.60,229752.00,485409.10,245799.10,257553.80,355361.80,918491.80,2588835.90,1296081.90,1333033.10,1243227.20,605768.20,678695.20,433717.00,420201.60
(30-2015) Industri alat angkutan lainnya,,5076.20,4.50,26414.60,12615.20,,27963.20,39037.30,24000.00,261873.40,113268.50,44683.40,7450.00,16606.00,12307.70,45920.60,222382.20,134393.80,194923.50,52179.00,18809.80,107105.40,351003.10,185400.40,291917.20,297395.40,647970.60,308158.40,114000.60,63447.20,46102.50
(33-2015) Reparasi dan pemasangan mesin dan peralatan,,,,,,,,,,,909.70,,,,,4682.00,,200.00,,,,2500.00,21622.20,820.00,14488.20,12537.90,8112.10,33377.50,11069.30,11454.60,8300.90
"(35-2015) Pengadaan listrik, gas, uap/air panas dan udara dingin",5715.70,,,368.80,,115500.00,400.00,,151101.20,184784.00,2958660.30,1914367.00,0.00,,,66919.00,6100.00,1250.00,544248.00,2148995.10,1072932.40,1125315.20,1059640.30,732982.90,641904.40,1634177.10,1263765.80,2484282.10,2926730.00,4417563.60,3228299.60
(41-2015) Konstruksi gedung,12000.00,70660.20,39506.40,4252.00,107580.10,100835.50,180500.70,21616.00,92558.60,256390.20,67002.10,111769.50,9608.00,93753.50,110835.10,842982.00,130537.60,172017.70,234889.40,357364.40,510069.70,172682.80,129468.30,249171.70,388803.80,104261.50,90490.00,14418.50,45534.30,32397.20,13233.80
(36-2015) Pengelolaan air,,,,,,,,6806.60,,,,,,76700.00,,1754.60,98455.50,,581.20,,7808.90,24922.00,12656.80,23582.90,25667.60,1324.00,151.90,13807.00,25104.70,13349.80,19453.40
(38-2015) Pengelolaan dan daur ulang sampah,,,,,,,,,,,,,,6800.00,,,,,,4500.10,,888.90,,140.90,5884.90,404.60,3437.70,6290.10,10070.60,3769.30,12727.90
(37-2015) Pengelolaan air limbah,,,,,,,,,,,,,,,,,,,,,,,0.00,13.00,1285.30,2293.50,9871.00,112.40,63.80,23.50,0.90
(42-2015) Konstruksi bangunan sipil,,,,,,,,,1173.30,6965.00,7647.70,3074.00,1858.70,3751.60,,32752.30,,2079.30,,,100.00,631.10,2723.80,11487.00,194597.70,297001.70,14587.20,9716.80,21686.20,75257.50,128857.30
(43-2015) Konstruksi khusus,,,,138.70,,,,486.50,0.00,2095.70,4242.50,934.60,,23714.50,35054.60,8312.70,,33494.40,36872.90,142082.40,41546.70,,408.70,2883.40,12333.60,14815.50,7055.50,15357.70,6235.60,18038.20,16025.20
"(46-2015) Perdagangan besar, bukan mobil dan sepeda motor",,1140.00,33963.20,500.00,18527.50,8359.50,4538.10,3151.00,9333.00,41033.40,124903.20,44713.40,57366.60,97838.20,105312.90,222468.00,337137.00,373514.00,411090.50,318859.20,372347.90,529049.80,282030.80,400695.80,529625.20,207662.90,277344.60,555694.30,306375.10,226931.10,182496.00
"(45-2015) Perdagangan, reparasi dan perawatan mobil dan sepeda motor",,,,,,,,,,,,7486.70,7450.00,261.00,,66107.20,11545.60,27882.30,5655.50,16087.80,67248.70,38526.30,19824.40,15559.00,22247.90,8139.70,4412.40,16732.80,5769.80,9305.20,16729.00
"(47-2015) Perdagangan eceran, bukan mobil dan motor",,,,,,,,,14817.10,,39834.10,7706.40,776.00,391.20,350.90,7056.10,950.00,17319.30,75720.90,20411.10,37732.80,74766.60,63839.80,75359.50,42738.60,82979.80,28009.10,60706.10,52149.80,59751.80,122504.90
(50-2015) Angkutan perairan,,,31730.80,,,3624.50,1797.90,5419.00,4541.60,2188.40,,5250.00,7264.20,,1115.10,20337.00,71168.60,79500.00,4263.50,60046.40,34710.50,81507.80,33808.30,74537.10,952607.20,207263.30,9454.00,36872.00,310996.00,165971.00,211282.40
