Year,Reporter,Reporter ISO,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
2011,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,100,238
2012,Brunei Darussalam,BRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,111851,669256
2012,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,236513,976825
2013,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,32460,232599
2014,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,41273,188597
2015,Bulgaria,BGR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,50580,256033
2014,Myanmar,MMR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,8049,15875
2013,Belarus,BLR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3,3900
2015,Belarus,BLR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,7996,253500
2014,Cambodia,KHM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,21,23
2015,Cameroon,CMR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2025,1857
2012,Canada,CAN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2326061,6543786
2013,Canada,CAN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,4955734,16045819
2014,Canada,CAN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,8249787,25205902
2015,Canada,CAN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,0,19146828
2011,Canada,CAN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,224080,823301
2011,Cabo Verde,CPV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,565,171
2013,Sri Lanka,LKA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,975
2014,Sri Lanka,LKA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1677,1995
2015,Sri Lanka,LKA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1994,12583
2011,Sri Lanka,LKA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,506,2713
2012,Sri Lanka,LKA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,69,177
2012,Chile,CHL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,45,2319
2013,Chile,CHL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,45977
2014,Chile,CHL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,923,4620
2015,Chile,CHL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,88,1308
2011,Chile,CHL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,7,1817
2012,China,CHN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,178848,825630
2013,China,CHN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,275813,1352317
2014,China,CHN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,308149,2113134
2015,China,CHN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,244179,1552262
2011,China,CHN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,222209,1155986
2012,Colombia,COL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,458,17425
2013,Colombia,COL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,606,25384
2014,Colombia,COL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,133,2277
2015,Colombia,COL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,435,5381
2011,Colombia,COL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,39628,3158044
2011,Congo,COG,7218,Stainless steel in ingots or other primary forms,34320,41332
2012,Costa Rica,CRI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3858,5950
2013,Costa Rica,CRI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3561,7579
2014,Costa Rica,CRI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,18221,23727
2015,Costa Rica,CRI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1137,8814
2011,Costa Rica,CRI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,9182,36239
2012,Croatia,HRV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,279,1597
2013,Croatia,HRV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,32,50
2014,Croatia,HRV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1574,10739
2015,Croatia,HRV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,9866,22494
2012,Czechia,CZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2014614,6888744
2013,Czechia,CZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1932461,3920033
2014,Czechia,CZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2237596,4868426
2015,Czechia,CZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,4206155,6737308
2011,Czechia,CZE,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,3567660,10055215
2012,Denmark,DNK,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,539796,4650845
2013,Denmark,DNK,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,518384,6123080
2014,Denmark,DNK,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,577784,7555719
2015,Denmark,DNK,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,650904,7639115
2011,Denmark,DNK,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,478324,2137268
2013,Dominican Rep.,DOM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,432,92700
2014,Dominican Rep.,DOM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,53,2094
2015,Dominican Rep.,DOM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,7014,7559
2013,Ecuador,ECU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,11,1119
2014,Ecuador,ECU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,203,5069
2011,Ecuador,ECU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,14400,18313
2012,Ecuador,ECU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,434,9403
2013,El Salvador,SLV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,50,9011
2014,Ethiopia,ETH,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,75,270
2012,Estonia,EST,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1137850,7684940
2013,Estonia,EST,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,522248,1604210
2014,Estonia,EST,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,191734,1298208
2015,Estonia,EST,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,167740,770179
2011,Estonia,EST,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,1056952,8054326
2012,Fiji,FJI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2575,43958
2014,Fiji,FJI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,216,1200
2015,Fiji,FJI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1625,10535
2011,Fiji,FJI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,1440,5862
2012,Finland,FIN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,985470,2576298
2013,Finland,FIN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,43266235,94515521
2014,Finland,FIN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1006875,2578836
2015,Finland,FIN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,936330,2116337
2011,Finland,FIN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,13074215,53087746
2012,France,FRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,21510681,91884930
2013,France,FRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,19606402,82997925
2014,France,FRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,17454028,73676624
2015,France,FRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,14351610,57582655
2011,France,FRA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,19213502,106255455
2012,Germany,DEU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,42225319,127395088
2013,Germany,DEU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,18683690,72107061
2014,Germany,DEU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,19266805,69379501
2015,Germany,DEU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,18887266,54856779
2011,Germany,DEU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,20778545,85759735
2012,Greece,GRC,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,6792,45795
2013,Greece,GRC,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,31057,111625
2014,Greece,GRC,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,140597,382538
2015,Greece,GRC,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,500,18375
2011,Greece,GRC,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,8400,47325
2012,Guatemala,GTM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,688,6999
2013,Guatemala,GTM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1225,12323
2014,Guatemala,GTM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,286,5377
2015,Guatemala,GTM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,11388,38734
2011,Guatemala,GTM,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,715,715
2013,Guyana,GUY,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,17000,27037
2012,Honduras,HND,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,100,2280
2014,Honduras,HND,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,470,6500
2012,"China, Hong Kong SAR",HKG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1125187,2753740
2013,"China, Hong Kong SAR",HKG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,1810384
2014,"China, Hong Kong SAR",HKG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,503931,1186755
2015,"China, Hong Kong SAR",HKG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,523354,869338
2011,"China, Hong Kong SAR",HKG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,325665,838512
2012,Hungary,HUN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,41644,643742
2013,Hungary,HUN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,14622,232551
2014,Hungary,HUN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,278361,2639511
2015,Hungary,HUN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,268511,2772855
